"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US06001","Alameda County, California","548274","3439","82.2","0.6","23.3","0.7","23.0","0.5","5.6","0.4","3.9","0.4","15.3","0.5","359928","5068","11.1","0.6","33.7","1.1","32.8","1.2","11.1","0.8","7.8","0.7","3.5","0.5","1554720","*****","45.6","0.5","11.9","0.2","0.7","0.1","26.7","0.3","0.9","0.1","7.9","0.5","6.3","0.4","22.7","*****","33.2","0.1","23.9","(X)","24.2","(X)","18.2","(X)","95429","1708","97425","1858","18898","2102","16205","397","9235","461","5238","516","30046","1591","110942","2321","51481","3798","84861","3966","155449","4633","86722","6984","153963","9709","114024","8035","35379","608","42622","1123","25372","2110","24709","6219","36866","1427","21845","5078","16897","1238","21850","2320","18818","817","50859","1339","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06007","Butte County, California","85388","1774","69.0","2.0","20.1","1.9","35.1","1.7","8.3","1.2","4.5","1.1","23.7","1.7","52697","2345","25.1","2.2","34.0","3.0","26.0","2.8","8.7","2.0","5.7","1.7","0.6","0.3","221539","*****","84.9","0.8","1.5","0.3","0.9","0.3","4.6","0.4","0.1","0.1","1.9","0.6","6.1","0.9","14.8","*****","74.4","0.1","26.9","(X)","25.1","(X)","21.4","(X)","57473","2639","54501","3164","20471","8449","16405","682","11962","1538","4779","1625","26000","2756","65976","3522","43086","4789","56063","5661","91090","7866","58789","7877","120347","31307","89460","19585","23067","1100","24398","1208","9175","3424","20804","5736","15026","3631","N","N","13742","3336","17463","8465","12326","1354","26165","1359","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06013","Contra Costa County, California","380397","3088","80.9","0.9","26.9","0.9","26.8","0.8","4.6","0.5","3.2","0.5","19.0","0.8","265285","5167","12.9","1.0","34.2","1.6","32.8","1.4","9.3","1.0","7.7","0.8","3.0","0.5","1079597","*****","62.8","0.7","9.0","0.3","0.6","0.1","14.8","0.4","0.5","0.1","6.5","0.7","5.8","0.6","24.8","*****","46.7","0.1","29.1","(X)","29.4","(X)","22.1","(X)","102019","2187","103662","2509","19112","2816","17929","435","10132","879","4770","602","30926","1835","116207","2857","56489","5401","104080","6188","150550","5650","97217","7717","146229","9855","117440","14357","37000","776","42093","1102","24874","2097","19108","5294","39692","2014","23164","6594","17877","1550","18220","2247","18875","1042","49833","1448","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06017","El Dorado County, California","65558","2265","77.6","1.8","28.1","2.0","32.9","1.8","4.0","1.2","3.1","1.0","24.7","1.9","47486","2288","16.6","2.1","32.2","3.6","34.4","3.2","8.6","2.0","6.1","1.5","2.1","1.0","180561","*****","86.1","1.0","0.8","0.2","0.5","0.4","4.5","0.7","0.0","0.1","4.6","1.0","3.4","0.8","12.2","*****","79.6","0.1","23.8","(X)","24.1","(X)","18.1","(X)","89326","4699","86276","5276","18379","4891","18209","1173","11650","1276","5450","1886","34181","3425","101424","5768","62109","8459","84451","10310","132659","12261","96568","24406","124273","13837","113327","16040","33740","1841","35895","2091","18052","6729","20801","6938","32271","6504","N","N","12371","2432","15891","5727","14168","2082","37538","2252","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06019","Fresno County, California","292280","2681","77.7","1.1","13.5","0.8","25.8","0.7","8.9","0.8","8.1","0.7","15.1","0.7","211407","4424","16.9","1.2","38.3","1.6","23.1","1.4","10.4","1.1","7.6","0.8","3.7","0.6","947895","*****","55.7","1.3","5.2","0.2","1.1","0.3","9.8","0.3","0.1","0.1","23.9","1.3","4.1","0.5","51.2","*****","31.7","0.1","37.4","(X)","36.3","(X)","26.3","(X)","59314","1566","60172","1899","13180","3172","16033","466","9888","603","4839","435","24016","1252","63454","2088","29740","3198","50185","3105","94942","4998","62034","5263","103778","6609","79619","8762","19010","462","23285","810","13963","2289","13900","3332","19161","1895","18091","5478","11405","633","12847","1550","12290","449","30783","1161","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06023","Humboldt County, California","52241","1821","73.4","2.3","24.0","3.0","30.2","2.4","8.1","1.7","3.9","1.4","19.5","2.7","30460","1842","19.3","2.7","36.7","4.3","31.4","4.0","6.0","2.1","5.5","1.6","1.2","0.8","134827","*****","82.4","0.9","1.7","0.2","5.1","0.9","2.9","0.3","0.3","0.2","2.0","0.9","5.5","1.1","10.3","*****","76.5","0.1","24.9","(X)","24.0","(X)","22.0","(X)","53908","3287","50592","3400","21646","8438","16113","805","9638","881","3193","695","22189","2706","65966","5063","45657","8098","54909","11203","82999","5991","58199","9956","117085","17153","92017","39322","22511","1389","24318","1668","16008","5874","13844","3112","19045","11659","11341","8000","10101","3827","12593","4224","13143","2099","24930","1735","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06025","Imperial County, California","46747","1674","75.0","3.2","8.4","1.6","34.4","2.9","9.1","2.0","8.1","2.4","13.5","2.2","36577","2067","17.2","3.1","37.1","4.0","21.0","3.3","13.6","2.6","7.1","2.3","4.0","1.3","176948","*****","80.5","2.4","3.0","0.2","0.6","0.2","1.3","0.3","0.3","0.3","10.6","2.2","3.6","0.9","81.2","*****","13.1","0.1","31.3","(X)","33.6","(X)","19.6","(X)","51780","3236","52676","4022","11730","5372","13735","1056","8268","1031","6047","1418","24319","5175","55173","4000","27393","4927","44370","5597","85269","12636","56706","6590","75350","10236","76214","15475","14833","870","15715","1068","5253","4169","11922","5326","22748","13185","N","N","11765","2031","10617","3285","12620","866","30175","3944","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06029","Kern County, California","255967","3215","78.8","1.1","10.6","0.8","25.9","0.9","7.0","0.7","7.0","0.9","14.4","1.0","193728","3943","14.9","1.3","38.5","2.0","26.0","1.7","10.1","1.3","7.4","0.9","3.1","0.6","856158","*****","71.5","1.2","5.5","0.4","1.4","0.4","4.7","0.2","0.2","0.1","13.6","1.2","3.1","0.5","50.3","*****","37.4","0.1","30.4","(X)","30.4","(X)","21.2","(X)","63091","1983","65264","2280","12926","2805","15792","465","9000","511","5072","593","25173","2572","67013","2416","30309","2214","53701","3303","96495","5009","58480","5438","117810","15509","68476","8156","19738","564","21536","657","14881","1769","12959","2404","26282","4688","18923","16819","13092","1012","9321","2464","12374","529","30002","1180","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06031","Kings County, California","40376","1216","79.8","2.3","11.5","1.9","23.5","2.3","8.1","2.1","7.4","2.2","16.3","2.0","31144","1472","15.8","3.2","37.0","4.3","27.5","3.9","8.8","2.6","8.6","2.0","2.4","0.9","151364","*****","69.8","3.0","6.5","0.5","0.9","0.3","4.0","0.9","0.0","0.1","14.5","3.1","4.3","0.8","52.0","*****","34.4","0.2","30.7","(X)","28.3","(X)","22.4","(X)","63204","5158","64273","6209","14018","5894","14343","1211","9824","978","5150","800","23733","3928","67546","6655","28847","6043","49675","6797","93032","9667","66932","18378","133213","65304","70762","13383","18619","1439","20507","1949","20412","5009","21022","5879","18388","4978","N","N","8928","1547","17261","8532","11062","1039","29800","3759","(X)","(X)","(X)","(X)","(X)","(X)"
