Table 80,,,,,
CALIFORNIA,,,,,
Full-time Law Enforcement Employees ,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2017",,,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians",
Metropolitan Counties,Alameda,"1,567",998,569,
,Butte,263,98,165,
,Contra Costa,956,628,328,
,El Dorado,354,161,193,
,Fresno,"1,111",412,699,
,Imperial,281,189,92,
,Kern,"1,151",812,339,
,Kings,278,73,205,
,Los Angeles,"15,721","9,413","6,308",
,Madera,114,83,31,
,Marin,291,189,102,
,Merced,242,106,136,
,Monterey,446,296,150,
,Napa,133,101,32,
,Orange,"3,755","1,843","1,912",
,Placer,538,250,288,
,Riverside,"3,643","1,831","1,812",
,Sacramento,"1,955","1,279",676,
,San Benito,56,25,31,
,San Bernardino,"3,509","1,957","1,552",
,San Diego,"4,290","2,601","1,689",
,San Francisco,"1,054",862,192,
,San Joaquin,724,299,425,
,San Luis Obispo,375,270,105,
,San Mateo,710,341,369,
,Santa Barbara,626,458,168,
,Santa Clara,"1,684","1,264",420,
,Santa Cruz,326,141,185,
,Shasta,184,129,55,
,Solano,534,124,410,
,Sonoma,614,229,385,
,Stanislaus,652,484,168,
,Sutter,131,106,25,
,Tulare,747,547,200,
,Ventura,"1,247",767,480,
,Yolo,257,87,170,
,Yuba,156,117,39,
Nonmetropolitan Counties,Alpine,17,12,5,
,Amador,85,47,38,
,Calaveras,106,52,54,
,Colusa,59,39,20,
,Del Norte,53,23,30,
,Glenn,62,27,35,
,Humboldt,242,181,61,
,Inyo,63,36,27,
,Lake,131,47,84,
,Lassen,85,64,21,
,Mariposa,75,60,15,
,Mendocino,189,128,61,
,Modoc,29,20,9,
,Mono,40,22,18,
,Nevada,156,62,94,
,Plumas,66,34,32,
,Sierra,13,8,5,
,Siskiyou,98,75,23,
,Tehama,118,84,34,
,Trinity,47,35,12,
,Tuolumne,133,64,69,
