Table 80,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2019",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,496",950,546
,Butte,252,101,151
,Contra Costa,928,612,316
,El Dorado,344,154,190
,Fresno,"1,182",414,768
,Imperial,272,187,85
,Kern,"1,155",779,376
,Kings,289,85,204
,Los Angeles,"15,930","9,565","6,365"
,Madera,121,86,35
,Marin,298,194,104
,Merced,255,122,133
,Monterey,430,295,135
,Napa,134,100,34
,Orange,"3,723","1,888","1,835"
,Placer,534,248,286
,Riverside,"3,750","1,788","1,962"
,Sacramento,"1,992","1,348",644
,San Benito,59,23,36
,San Bernardino,"3,342","1,927","1,415"
,San Diego,"4,344","2,601","1,743"
,San Francisco,"1,044",857,187
,San Joaquin,737,293,444
,San Luis Obispo,418,303,115
,San Mateo,746,334,412
,Santa Barbara,674,477,197
,Santa Clara,"1,716","1,316",400
,Santa Cruz,334,148,186
,Shasta,198,138,60
,Solano,512,122,390
,Sonoma,581,223,358
,Stanislaus,706,527,179
,Sutter,128,105,23
,Tulare,791,563,228
,Ventura,"1,231",761,470
,Yolo,262,84,178
,Yuba,163,126,37
Nonmetropolitan Counties,Alpine,16,13,3
,Amador,94,49,45
,Calaveras,113,58,55
,Colusa,59,40,19
,Del Norte,52,21,31
,Glenn,73,33,40
,Humboldt,245,187,58
,Inyo,78,38,40
,Lake,122,91,31
,Lassen,80,58,22
,Mariposa,78,62,16
,Mendocino,202,131,71
,Modoc,30,20,10
,Mono,41,20,21
,Nevada,152,59,93
,Plumas,66,36,30
,Sierra,12,6,6
,Siskiyou,103,81,22
,Tehama,107,73,34
,Trinity,50,36,14
,Tuolumne,131,60,71
