County,Square Miles
san bernardino,20057
inyo,10181
kern,8132
riverside,7206
siskiyou,6278
fresno,5958
tulare,4824
lassen,4541
san diego,4207
imperial,4177
los angeles,4058
modoc,3918
shasta,3775
humboldt,3568
mendocino,3506
monterey,3381
san luis obispo,3299
trinity,3179
mono,3049
tehama,2950
santa barbara,2735
plumas,2553
tuolumne,2221
madera,2137
merced,1935
ventura,1843
el dorado,1708
butte,1636
sonoma,1576
stanislaus,1495
mariposa,1449
placer,1407
san joaquin,1391
kings,1389
san benito,1389
glenn,1314
santa clara,1290
lake,1256
colusa,1151
calaveras,1020
yolo,1015
del norte,1006
sacramento,965
nevada,958
sierra,953
solano,822
orange,791
napa,748
alameda,739
alpine,738
contra costa,716
yuba,632
sutter,602
amador,595
marin,520
san mateo,448
santa cruz,445
san francisco,47
